""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"OTU"	"row2"	"names"	"gs"	"abundance"	"sig"	"pch"
"296"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__pallens"	318.477059345721	3.63280216280744	2.40175866383215	1.51255919985361	0.130391664491591	0.280027385925059	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotella"	"s__pallens"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__pallens"	"705241"	"g__Prevotella.s__pallens"	0.00953813119641711	0.552799493748719	19
"297"	"k__Bacteria.p__Acidobacteria.c__[Chloracidobacteria].o__RB41.f__.g__.s__"	1.02635588416841	4.48092325818045	2.97972280224536	1.50380540592697	0.132631478847585	0.280027385925059	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	"f__"	"g__"	"s__"	"k__Bacteria.p__Acidobacteria.c__[Chloracidobacteria].o__RB41.f__.g__.s__"	"735782"	"g__.s__"	5.18736954457858e-05	0.552799493748719	19
"298"	"k__Bacteria.p__Elusimicrobia.c__Elusimicrobia.o__Elusimicrobiales.f__.g__.s__"	1.02540570819743	4.48247107888348	2.97971076022672	1.50433093665186	0.132496177189977	0.280027385925059	"k__Bacteria"	"p__Elusimicrobia"	"c__Elusimicrobia"	"o__Elusimicrobiales"	"f__"	"g__"	"s__"	"k__Bacteria.p__Elusimicrobia.c__Elusimicrobia.o__Elusimicrobiales.f__.g__.s__"	"2760486"	"g__.s__"	0.000519711898267975	0.552799493748719	19
"299"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__"	1.0284377017231	4.48340035084735	2.97970353666077	1.50464645079145	0.132414997179924	0.280027385925059	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Veillonellaceae"	"g__Veillonella"	"s__"	"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__"	"915452"	"g__Veillonella.s__"	0.000802348335740583	0.552799493748719	19
"300"	"k__Bacteria.p__Spirochaetes.c__Spirochaetes.o__Spirochaetales.f__Spirochaetaceae.g__Treponema.s__"	1.00842724408609	4.46081076519753	2.97988044778272	1.49697642015026	0.134399393694893	0.282209120285299	"k__Bacteria"	"p__Spirochaetes"	"c__Spirochaetes"	"o__Spirochaetales"	"f__Spirochaetaceae"	"g__Treponema"	"s__"	"k__Bacteria.p__Spirochaetes.c__Spirochaetes.o__Spirochaetales.f__Spirochaetaceae.g__Treponema.s__"	"95168"	"g__Treponema.s__"	0.000228416863280529	0.549428955055183	19
"301"	"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia.s__"	0.840058057830374	4.23086007326011	2.83308363515508	1.49337634115716	0.135338702392553	0.282209120285299	"k__Bacteria"	"p__Fusobacteria"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Leptotrichiaceae"	"g__Leptotrichia"	"s__"	"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia.s__"	"257278"	"g__Leptotrichia.s__"	3.95095426722206e-05	0.549428955055183	19
"302"	"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia.s__"	0.663403203444407	3.91976273504	2.63039672585488	1.49017929368281	0.136177099312271	0.282209120285299	"k__Bacteria"	"p__Fusobacteria"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Leptotrichiaceae"	"g__Leptotrichia"	"s__"	"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Leptotrichiaceae.g__Leptotrichia.s__"	"563798"	"g__Leptotrichia.s__"	1.72700185551346e-05	0.549428955055183	19
"303"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__"	2.89490292832511	-4.40449484576258	2.95502588444535	-1.4905097342622	0.136090258897537	0.282209120285299	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae"	"g__Bacillus"	"s__"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__"	"833317"	"g__Bacillus.s__"	0.000633927189869086	0.549428955055183	19
"304"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.g__Gemella.s__"	0.536425156850661	3.65495880036393	2.44988745863408	1.49188844878684	0.135728391362647	0.282209120285299	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Gemellales"	"f__Gemellaceae"	"g__Gemella"	"s__"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.g__Gemella.s__"	"1712416"	"g__Gemella.s__"	1.58449884689643e-05	0.549428955055183	19
"305"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__.g__.s__"	0.652912112068574	2.71553983840261	1.82920734093433	1.48454457711478	0.137664506312095	0.283643854507039	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Gemellales"	"f__"	"g__"	"s__"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__.g__.s__"	"922239"	"g__.s__"	2.7983050062783e-05	0.547226621521434	19
