Kegg	SmNV.0016.BronchSup	SmNV.0016.BAL.L.untouched	COPD.0021.BronchSup	COPD.0021.BAL.R.untouched	SmNV.0023.BronchSup	SmNV.0023.BAL.R.Untouched	SmNV.0027.Oral	SmNV.0027.BAL.L.untouched	COPD.0030.BronchSup	COPD.0030.BAL.L.untouched	SmNV.0032.Oral	SmNV.0032.BAL.R.untouched	COPD.0035.BAL.L.untouched	COPD.0035.BronchSup	COPD.0036.Oral	COPD.0036.BAL.L.Untouched	SmNV.0038.Oral	SmNV.0038.Bronch	SmNV.0038.BAL.L.untouched	SmNV.0039.Oral	SmNV.0039.BAL.L.untouched	SmNV.0005.BronchSup	SmNV.0005.BAL.L.untouched	COPD.0003.Oral	COPD.0003.BAL.L.untouched	SmNV.0008.BronchSup	SmNV.0008.BAL.L.untouched	COPD.0007.BronchSup	COPD.0007.BAL.L.untouched	SmNV.0009.Oral	SmNV.0009.BAL.L.untouched	SmNV.0004.BronchSup	SmNV.0004.BAL.L.untouched	COPD.0026.BronchSup	COPD.0026.BAL.R.untouched	COPD.0002.Bronch	COPD.0002.BronchSup	COPD.0002.BALF.L.untouched	COPD.0041.BronchSup	COPD.0041.BAL.L.untouched
K02051|g__Prevotella.s__Prevotella_melaninogenica	0	0	5.188	0	744.84	0	36.179	0	10.227	7.523	20.581	0	7.779	6.446	16.86	0	63.248	0	0	37.529	0	2.594	0	0	0	0	0	98.335	0	37.395	0	0	0	91.299	0	0	557.778	9.018	0	0
K02051|g__Veillonella.s__Veillonella_atypica	14.924	0	23.63	0	403.261	0	50.986	0	232.725	13.677	197.275	0	11.188	51.943	44.741	0	157.743	0	0	291.455	0	33.571	0	0	0	66.755	0	639.748	0	117.818	0	65.347	0	117.264	0	0	1252.865	12.419	73.82	0
K02051|g__Veillonella.s__Veillonella_parvula	0	0	0	0	18.415	0	14.919	0	0	0	0	0	0	27.075	0	0	9.949	0	0	21.104	0	0	0	12.436	0	0	0	26.115	0	13.557	0	2.481	0	0	0	0	82.658	6.219	11.191	0
K02051|unclassified	0	0	0	0	101.638	0	0	0	124.21	0	22.781	0	6.65	34.54	4.32	0	85.608	0	0	96.359	0	10.354	0	0	0	0	0	70.65	0	28.272	0	18.847	0	71.17	0	0	338.331	0	0	0
K02052	0	0	0	0	0	0	0	0	3.403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.689	0
K02052|unclassified	0	0	0	0	0	0	0	0	3.403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.689	0
K02053	0	0	2.847	0	0	0	37.027	0	56.954	11.39	106.751	0	5.696	87.879	5.694	0	91.132	0	0	9.969	0	0	0	0	0	0	0	51.268	0	52.582	0	0	0	31.329	0	0	38.156	0	0	0
K02053|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	2.847	0	0	0	37.027	0	56.954	11.39	106.751	0	5.696	87.879	5.694	0	91.132	0	0	9.969	0	0	0	0	0	0	0	51.268	0	52.582	0	0	0	31.329	0	0	38.156	0	0	0
K02054	0	0	5.554	0	2.776	0	16.661	0	63.171	6.944	116.427	0	0	63.193	5.554	0	105.365	0	0	30.581	0	0	0	0	0	17.403	0	65.102	0	49.553	0	0	0	12.201	0	0	20.534	5.488	0	0
K02054|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	5.554	0	2.776	0	16.661	0	55.459	6.944	116.427	0	0	63.193	5.554	0	105.365	0	0	24.996	0	0	0	0	0	0	0	65.102	0	49.553	0	0	0	12.201	0	0	20.534	5.488	0	0
